time,x,y,theta
0.184,0.04,0.0,0.0
0.239,0.06,0.0,0.0
0.291,0.08,0.0,0.0
0.344,0.1,0.0,0.0
0.396,0.12,0.0,0.0
0.448,0.14,0.0,0.0
0.501,0.16,0.0,0.0
0.667,0.18,0.0,0.0
0.726,0.2,0.0,0.0
0.884,0.01,0.042,-0.02
0.991,0.03,0.04,-0.019
1.095,0.05,0.039,-0.018
1.2,0.07,0.037,-0.018
1.456,0.14,0.034,-0.045
1.546,0.159,0.032,-0.042
1.643,0.179,0.03,-0.04
1.891,0.333,0.032,-0.03
2.127,0.405,0.039,-0.042
2.33,0.543,0.031,0.016
2.767,0.688,-0.035,-0.03
2.843,0.686,-0.029,-0.012
3.188,0.855,-0.036,-0.016
3.347,0.85,-0.03,0.002
3.437,0.846,-0.024,0.021
3.547,0.842,-0.018,0.039
3.638,0.838,-0.011,0.058
3.744,0.834,-0.005,0.076
3.836,0.83,0.001,0.095
3.944,0.826,0.007,0.113
4.032,0.821,0.014,0.132
4.137,0.817,0.02,0.151
5.293,0.813,0.026,0.169
5.557,0.777,0.254,0.301
5.692,0.773,0.258,0.32
5.751,0.769,0.262,0.339
5.903,0.76,0.279,0.319
6.006,0.756,0.282,0.338
6.1,0.752,0.285,0.358
6.162,0.748,0.289,0.377
6.448,0.74,0.332,0.359
6.658,0.715,0.337,0.504
6.909,0.689,0.34,0.64
7.082,0.656,0.34,0.775
7.154,0.652,0.344,0.795
7.302,0.629,0.337,0.868
7.377,0.625,0.342,0.887
7.687,0.591,0.319,0.96
7.975,0.572,0.326,0.962
8.099,0.57,0.331,0.982
8.158,0.568,0.337,1.001
8.356,0.54,0.347,0.935
8.575,0.532,0.355,0.943
8.822,0.621,0.23,1.051
9.124,0.625,0.263,1.272
9.313,0.618,0.275,1.287
9.379,0.612,0.287,1.302
9.759,0.494,0.299,1.79
9.974,0.472,0.306,1.929
10.171,0.462,0.307,2.062
10.284,0.463,0.314,2.043
10.371,0.465,0.321,2.025
10.469,0.466,0.329,2.006
10.58,0.468,0.336,1.988
10.676,0.469,0.343,1.969
10.781,0.471,0.35,1.951
10.946,0.429,0.505,2.561
11.065,0.431,0.505,2.541
11.169,0.432,0.505,2.521
11.402,0.246,0.448,2.309
11.544,0.252,0.449,2.29
11.731,0.237,0.488,2.176
11.848,0.245,0.489,2.158
11.959,0.253,0.489,2.139
12.067,0.261,0.489,2.121
12.172,0.269,0.49,2.103
12.361,0.339,0.517,1.545
12.475,0.358,0.515,1.55
12.581,0.378,0.513,1.553
12.819,0.355,0.513,1.428
12.893,0.369,0.512,1.442
13.08,0.367,0.518,1.434
13.194,0.381,0.516,1.449
13.281,0.395,0.514,1.463
13.52,0.399,0.523,1.471
13.59,0.413,0.52,1.485
13.778,0.419,0.535,1.502
13.974,0.43,0.541,1.554
14.185,0.42,0.54,1.593
14.474,0.444,0.558,1.692
14.665,0.446,0.579,1.766
14.78,0.44,0.578,1.785
14.887,0.433,0.577,1.804
15.123,0.359,0.574,1.798
15.391,0.442,0.572,1.823
15.582,0.345,0.57,1.844
15.701,0.34,0.569,1.864
15.787,0.335,0.568,1.883
16.022,0.326,0.565,1.916
16.253,0.315,0.559,1.931
16.372,0.31,0.558,1.95
16.48,0.305,0.557,1.97
16.587,0.3,0.556,1.989
16.693,0.295,0.555,2.008
16.927,0.286,0.544,1.973
17.199,0.28,0.533,1.981
17.396,0.275,0.527,1.993
17.509,0.27,0.526,2.013
17.593,0.265,0.526,2.032
17.827,0.26,0.513,2.003
17.963,0.256,0.513,2.022
18.074,0.251,0.513,2.042
18.177,0.247,0.512,2.061
18.279,0.243,0.512,2.081
18.515,0.237,0.493,2.028
18.625,0.233,0.493,2.048
18.691,0.229,0.493,2.067
18.976,0.221,0.482,2.096
19.288,0.209,0.482,2.227
19.506,0.185,0.49,2.4
19.612,0.18,0.49,2.419
19.712,0.175,0.49,2.439
19.805,0.17,0.491,2.458
20.071,0.256,0.604,2.868
20.333,0.229,0.6,3.099
20.459,0.211,0.592,3.102
20.578,0.193,0.585,3.106
20.697,0.175,0.577,3.109
20.862,0.185,0.504,-2.858
21.022,0.174,0.504,-2.875
21.178,0.141,0.414,-2.71
21.334,0.135,0.417,-2.729
21.591,0.048,0.354,-2.718
21.752,0.046,0.361,-2.737
22.058,-0.07,0.314,-2.736
22.358,-0.126,0.412,-2.826
22.503,-0.119,0.416,-2.844
22.662,-0.156,0.311,-2.977
22.756,-0.145,0.324,-2.988
22.816,-0.135,0.337,-2.999
22.979,-0.167,0.333,-2.949
23.141,-0.156,0.344,-2.962
23.348,-0.142,0.36,3.061
24.458,0.077,0.437,2.666
24.719,0.131,0.464,2.79
24.959,0.157,0.477,2.799
25.032,0.149,0.479,2.817
25.222,0.183,0.428,2.85
25.461,0.205,0.531,2.86
25.753,0.154,0.454,2.863
25.898,0.144,0.457,2.881
26.014,0.135,0.46,2.898
26.124,0.125,0.463,2.915
26.24,0.116,0.465,2.933
26.345,0.106,0.468,2.95
26.444,0.096,0.471,2.967
26.537,0.087,0.474,2.985
26.632,0.077,0.477,3.002
26.741,0.068,0.48,3.019
26.853,-0.082,0.605,2.944
26.935,-0.075,0.596,2.961
27.1,-0.123,0.615,2.946
27.232,-0.113,0.607,2.961
27.347,-0.104,0.598,2.976
27.437,-0.094,0.589,2.992
27.553,-0.085,0.58,3.007
27.634,-0.075,0.571,3.022
27.798,-0.263,0.643,2.972
27.93,-0.248,0.635,2.982
28.034,-0.232,0.627,2.992
28.15,-0.217,0.618,3.002
28.308,-0.185,0.56,-2.96
28.484,-0.171,0.556,-2.974
28.738,-0.07,0.589,-2.923
28.913,-0.064,0.581,-2.94
29.172,0.101,0.619,-2.865
29.332,0.094,0.611,-2.882
29.5,0.224,0.699,-2.95
29.626,0.211,0.688,-2.96
29.733,0.199,0.677,-2.971
29.843,0.186,0.666,-2.982
29.955,0.173,0.654,-2.993
30.043,0.161,0.643,-3.004
30.304,0.274,0.645,-3.014
30.519,0.24,0.671,-3.105
30.723,0.156,0.69,-3.08
30.855,0.144,0.674,-3.085
30.98,0.131,0.66,-3.09
31.045,0.119,0.645,-3.095
31.151,0.107,0.63,-3.099
31.413,-0.074,0.598,-3.054
31.605,-0.12,0.664,-3.085
31.82,-0.137,0.648,-3.015
32.037,-0.135,0.632,-2.981
32.228,-0.134,0.616,-2.941
32.388,-0.124,0.607,-2.956
32.696,-0.024,0.52,-2.897
33.001,0.036,0.501,-2.919
33.151,0.033,0.501,-2.939
33.31,0.052,0.475,-2.921
33.459,0.048,0.478,-2.941
33.618,0.089,0.458,-2.95
33.785,0.081,0.462,-2.967
34.091,0.106,0.484,3.105
34.412,0.068,0.591,2.97
34.578,0.061,0.583,2.986
34.839,0.021,0.632,2.724
35.031,0.02,0.626,2.744
35.131,0.019,0.62,2.763
35.231,0.018,0.614,2.782
35.33,0.017,0.608,2.801
35.426,0.016,0.602,2.82
35.528,0.015,0.596,2.839
35.628,0.014,0.59,2.858
35.73,0.013,0.584,2.877
35.836,0.013,0.578,2.896
35.938,0.012,0.572,2.915
36.203,-0.102,0.651,2.759
36.361,-0.097,0.644,2.777
36.525,-0.094,0.637,2.78
36.642,-0.089,0.63,2.798
36.747,-0.085,0.623,2.816
36.851,-0.08,0.616,2.835
37.118,-0.092,0.61,2.791
37.268,-0.087,0.604,2.809
37.432,-0.055,0.59,2.887
37.559,-0.051,0.583,2.906
37.665,-0.047,0.577,2.924
37.777,-0.043,0.57,2.943
37.904,-0.039,0.564,2.961
37.977,-0.035,0.557,2.98
38.099,-0.031,0.551,2.998
38.165,-0.027,0.544,3.017
38.425,0.121,0.492,-2.961
38.605,0.11,0.493,-2.978
38.67,0.099,0.494,-2.995
38.837,0.192,0.543,-2.728
39.043,0.225,0.533,-2.623
39.204,0.217,0.532,-2.641
39.512,0.293,0.455,-2.457
39.783,0.241,0.414,-2.482
39.954,0.235,0.416,-2.501
40.215,0.169,0.364,-2.49
40.338,0.164,0.368,-2.509
40.434,0.159,0.372,-2.528
40.51,0.154,0.376,-2.547
40.767,0.08,0.35,-2.631
40.983,0.032,0.453,-2.722
41.184,0.015,0.469,-2.778
41.384,0.008,0.457,-2.851
41.582,0.006,0.464,-2.864
41.804,0.002,0.469,-2.879
41.962,0.002,0.472,-2.898
42.121,-0.017,0.395,-2.935
42.383,-0.026,0.505,3.1
42.784,-0.013,0.517,2.949
42.982,-0.0,0.538,2.814
43.161,-0.0,0.53,2.796
43.325,0.022,0.522,2.687
43.39,0.021,0.513,2.669
43.583,0.028,0.512,2.7
43.781,0.024,0.511,2.706
43.947,0.024,0.502,2.688
44.155,0.016,0.505,2.725
44.379,0.012,0.498,2.75
44.599,0.011,0.49,2.749
44.853,0.016,0.479,2.731
45.041,0.018,0.471,2.718
45.182,0.018,0.464,2.7
45.295,0.018,0.456,2.681
45.412,0.017,0.449,2.663
45.518,0.017,0.441,2.644
45.603,0.017,0.433,2.626
45.721,0.016,0.426,2.607
45.801,0.016,0.418,2.589
45.967,0.023,0.43,2.694
46.078,0.022,0.423,2.675
46.188,0.022,0.416,2.657
46.295,0.022,0.409,2.638
46.405,0.021,0.402,2.619
46.516,0.021,0.395,2.601
46.624,0.02,0.387,2.582
46.705,0.02,0.38,2.563
46.872,0.045,0.399,2.667
46.993,0.044,0.392,2.648
47.103,0.043,0.385,2.629
47.216,0.042,0.378,2.61
47.329,0.042,0.372,2.592
47.409,0.041,0.365,2.573
47.676,0.046,0.368,2.677
47.877,0.044,0.359,2.682
48.041,0.044,0.353,2.663
48.347,0.049,0.35,2.705
48.487,0.049,0.344,2.686
48.647,0.051,0.229,2.673
48.715,0.05,0.225,2.654
48.914,0.045,0.232,2.701
49.132,0.044,0.317,2.701
49.36,0.043,0.306,2.701
49.53,0.042,0.301,2.681
49.688,0.042,0.213,2.72
49.843,0.041,0.209,2.7
49.907,0.04,0.205,2.68
50.01,0.04,0.202,2.661
50.271,0.053,0.192,2.724
50.442,0.052,0.188,2.704
50.598,0.056,0.171,2.716
50.716,0.055,0.168,2.696
50.829,0.054,0.165,2.677
50.944,0.053,0.162,2.657
51.023,0.052,0.159,2.637
51.284,0.074,0.14,2.569
51.532,0.077,0.22,2.563
51.734,0.069,0.138,2.583
51.961,0.087,0.204,2.49
52.126,0.085,0.2,2.47
52.29,0.094,0.192,2.4
52.402,0.091,0.188,2.38
52.51,0.089,0.183,2.361
52.617,0.087,0.179,2.342
52.724,0.085,0.174,2.322
52.993,0.072,0.162,2.416
53.2,0.068,0.154,2.418
53.437,0.068,0.149,2.429
53.661,0.057,0.136,2.423
53.953,0.053,0.121,2.43
54.097,0.052,0.118,2.41
54.212,0.051,0.115,2.39
54.325,0.05,0.113,2.371
54.455,0.048,0.11,2.351
54.783,-0.021,-0.013,2.269
55.065,0.1,0.062,2.124
55.292,0.036,-0.069,2.053
55.528,0.068,-0.095,1.96
55.656,0.065,-0.09,1.941
55.734,0.061,-0.085,1.922
55.838,0.058,-0.081,1.903
55.954,0.055,-0.076,1.883
56.033,0.051,-0.071,1.864
56.323,0.031,-0.124,1.437
56.549,0.041,-0.068,1.449
56.786,0.048,-0.018,1.45
57.017,0.055,0.028,1.45
57.32,0.055,0.095,1.437
57.431,0.049,0.084,1.452
57.672,0.068,0.163,1.563
57.843,0.043,0.198,1.687
58.08,0.133,0.19,1.711
58.148,0.123,0.176,1.701
58.417,0.024,0.155,1.731
58.547,0.022,0.141,1.716
58.742,0.145,0.059,1.788
58.861,0.134,0.055,1.772
58.947,0.123,0.05,1.756
59.189,0.1,-0.064,1.679
59.319,0.087,-0.055,1.666
59.429,0.075,-0.047,1.652
59.541,0.062,-0.04,1.639
59.782,0.246,-0.316,1.544
60.009,0.009,-0.239,1.378
60.193,-0.026,-0.241,1.316
60.424,-0.032,-0.23,1.346
60.532,-0.03,-0.216,1.36
60.782,0.003,-0.2,1.293
60.88,0.002,-0.188,1.31
60.963,0.002,-0.176,1.326
61.205,-0.008,-0.063,1.34
61.456,0.005,-0.019,1.378
61.654,0.002,0.044,1.406
61.79,0.002,0.038,1.425
61.886,0.002,0.033,1.444
61.969,0.002,0.028,1.464
62.258,0.018,0.199,1.46
62.464,0.009,0.241,1.487
62.707,0.014,0.262,1.601
62.887,0.028,0.242,1.511
62.978,0.026,0.223,1.516
63.208,0.008,0.213,1.322
63.362,0.007,0.2,1.338
63.552,0.021,0.121,1.391
63.675,0.019,0.11,1.407
63.912,-0.01,-0.014,1.39
64.11,0.001,-0.112,1.439
64.185,0.0,-0.099,1.454
64.265,0.0,-0.086,1.469
64.557,-0.028,-0.227,1.453
64.762,-0.048,-0.269,1.448
64.88,-0.045,-0.251,1.456
64.997,-0.042,-0.233,1.464
65.08,-0.039,-0.215,1.473
65.249,0.029,-0.147,1.596
65.596,-0.042,-0.172,1.665
65.921,0.023,0.091,1.68
66.159,-0.066,0.057,1.732
66.459,-0.086,0.172,1.707
66.673,-0.093,0.26,1.656
66.882,-0.085,0.321,1.668
67.006,-0.08,0.303,1.662
67.087,-0.075,0.284,1.656
67.325,-0.112,0.256,1.315
67.541,-0.088,0.22,1.311
67.652,-0.083,0.208,1.326
67.756,-0.078,0.195,1.341
67.863,-0.073,0.183,1.356
67.973,-0.068,0.17,1.37
68.09,-0.063,0.158,1.385
68.203,-0.058,0.145,1.4
68.282,-0.053,0.133,1.415
68.522,-0.137,-0.085,1.345
68.732,-0.156,-0.14,1.365
69.0,-0.026,-0.232,1.438
69.331,-0.065,-0.172,1.434
69.542,0.077,-0.375,1.762
69.648,0.074,-0.357,1.753
69.738,0.07,-0.34,1.744
70.003,-0.082,-0.073,1.623
70.301,-0.116,-0.0,1.611
70.536,-0.127,-0.042,1.754
70.656,-0.116,-0.038,1.737
70.751,-0.105,-0.035,1.721
70.828,-0.094,-0.031,1.705
70.992,-0.197,0.128,1.55
71.185,-0.139,0.197,1.581
71.436,-0.04,0.228,1.539
71.545,-0.037,0.209,1.542
71.62,-0.033,0.189,1.544
71.898,-0.095,0.272,1.47
72.137,-0.091,0.277,1.469
72.231,-0.085,0.26,1.475
72.314,-0.079,0.242,1.482
72.393,-0.073,0.224,1.489
72.636,-0.083,0.134,1.51
72.707,-0.073,0.118,1.517
72.996,-0.058,0.013,1.569
73.461,0.08,-0.142,1.646
73.678,0.045,-0.073,1.59
73.884,0.03,-0.157,1.56
74.107,0.045,-0.31,1.518
74.23,0.045,-0.301,1.5
74.408,0.075,-0.256,1.258
74.653,0.017,-0.206,1.264
74.744,0.018,-0.196,1.247
74.913,0.032,-0.154,1.263
75.141,0.05,-0.11,1.283
75.219,0.05,-0.104,1.264
75.322,0.05,-0.098,1.245
75.61,0.092,-0.006,1.266
75.824,0.092,0.049,1.233
76.059,0.111,0.093,1.242
76.27,0.126,0.143,1.237
76.487,0.144,0.192,1.236
76.681,0.223,0.233,1.078
76.791,0.214,0.224,1.063
76.896,0.205,0.214,1.048
77.009,0.196,0.205,1.033
77.122,0.187,0.195,1.018
77.228,0.178,0.186,1.002
77.335,0.169,0.176,0.987
77.415,0.16,0.167,0.972
77.574,0.18,0.206,0.542
77.833,0.047,0.142,0.576
78.02,0.095,0.154,0.484
78.148,0.092,0.147,0.502
78.229,0.089,0.141,0.521
78.48,-0.009,0.108,0.396
78.594,-0.005,0.105,0.415
78.844,-0.15,0.025,0.466
79.067,-0.099,0.09,0.419
79.404,-0.173,0.189,0.607
79.688,-0.183,0.077,0.82
79.83,-0.163,0.075,0.817
79.942,-0.143,0.073,0.814
80.046,-0.124,0.07,0.811
80.125,-0.104,0.068,0.808
80.42,-0.113,0.152,1.081
80.602,-0.079,0.182,1.125
80.851,0.074,0.205,1.162
80.948,0.073,0.197,1.143
81.029,0.072,0.189,1.125
81.271,0.086,0.287,1.161
81.339,0.085,0.276,1.144
81.578,0.13,0.324,1.197
81.686,0.127,0.313,1.181
81.814,0.14,0.324,1.218
81.933,0.137,0.314,1.201
82.055,0.133,0.303,1.184
82.134,0.13,0.293,1.168
82.378,0.103,0.223,1.184
82.474,0.101,0.215,1.166
82.745,0.075,0.154,1.149
82.973,0.051,0.115,1.112
83.041,0.051,0.111,1.092
83.284,0.036,0.057,1.106
83.507,0.094,0.013,1.085
83.629,0.091,0.015,1.065
83.735,0.088,0.018,1.045
83.98,-0.027,-0.083,1.048
84.053,-0.022,-0.075,1.031
84.652,-0.035,-0.1,0.722
84.852,-0.056,-0.101,0.762
85.067,-0.032,-0.057,0.849
85.156,-0.021,-0.042,0.841
85.405,0.042,-0.032,0.892
85.631,0.081,0.023,0.898
85.757,0.076,0.027,0.879
86.912,0.339,0.3,0.818
87.186,0.319,0.314,0.833
87.252,0.304,0.3,0.83
87.452,0.306,0.322,0.836
87.657,0.295,0.329,0.849
87.884,0.24,0.473,0.858
87.961,0.232,0.454,0.855
88.112,0.247,0.284,0.851
88.228,0.234,0.269,0.847
88.472,0.06,0.341,0.792
88.661,0.02,0.122,0.845
88.966,-0.047,0.187,0.772
89.217,-0.142,-0.009,0.784
89.437,-0.235,0.161,0.706
89.666,-0.13,-0.171,0.896
89.799,-0.12,-0.167,0.879
89.857,-0.109,-0.163,0.863
90.158,-0.224,-0.125,0.638
90.379,-0.232,-0.105,0.519
90.554,-0.123,-0.046,0.432
90.666,-0.107,-0.044,0.42
90.921,0.034,-0.065,0.355
91.124,0.094,-0.044,0.332
91.238,0.108,-0.04,0.318
91.337,0.123,-0.037,0.305
91.592,0.157,0.084,0.301
91.69,0.171,0.082,0.286
91.769,0.185,0.08,0.272
91.928,0.261,0.137,0.204
92.126,0.326,0.139,0.189
92.234,0.336,0.132,0.173
92.325,0.346,0.124,0.158
92.569,0.463,0.17,0.094
92.816,0.531,0.177,0.063
92.9,0.521,0.161,0.055
92.984,0.511,0.146,0.048
93.143,0.639,0.168,0.033
93.348,0.678,0.076,-0.123
93.559,0.716,0.058,-0.233
93.773,0.712,0.048,-0.261
93.956,0.708,0.043,-0.269
94.07,0.694,0.043,-0.255
94.334,0.647,0.054,-0.321
94.656,0.54,0.086,-0.27
94.877,0.485,0.173,-0.209
95.102,0.433,0.193,-0.203
95.196,0.435,0.181,-0.187
95.282,0.436,0.17,-0.171
95.44,0.355,0.219,-0.203
95.645,0.31,0.148,-0.211
95.755,0.321,0.141,-0.195
95.86,0.331,0.134,-0.179
95.968,0.341,0.127,-0.164
96.077,0.352,0.119,-0.148
96.332,0.306,0.138,-0.039
96.561,0.329,0.208,0.09
96.751,0.375,0.24,0.128
96.948,0.414,0.241,0.163
97.209,0.478,0.148,0.229
97.512,0.605,0.282,0.202
97.609,0.596,0.269,0.19
97.689,0.587,0.255,0.178
97.846,0.685,0.269,0.18
98.038,0.707,0.259,0.127
98.169,0.693,0.247,0.12
98.369,0.714,0.249,0.082
98.576,0.706,0.152,0.003
98.692,0.687,0.145,0.003
98.9,0.636,0.119,-0.233
99.111,0.599,0.234,-0.25
99.215,0.591,0.224,-0.235
99.296,0.582,0.213,-0.221
99.457,0.484,0.253,-0.243
99.648,0.403,0.276,-0.241
99.734,0.406,0.262,-0.227
100.009,0.307,0.315,-0.255
100.184,0.271,0.316,-0.244
100.302,0.28,0.303,-0.232
100.414,0.289,0.289,-0.22
100.668,0.274,0.181,-0.16
100.856,0.296,0.28,-0.161
100.955,0.305,0.266,-0.151
101.021,0.315,0.251,-0.141
101.324,0.37,0.266,0.066
101.623,0.451,0.27,0.251
101.86,0.515,0.291,0.278
102.047,0.584,0.306,0.428
102.114,0.579,0.296,0.411
102.266,0.64,0.334,0.515
102.378,0.634,0.325,0.498
102.48,0.628,0.316,0.481
102.585,0.622,0.307,0.465
102.694,0.615,0.297,0.448
102.803,0.609,0.288,0.431
102.912,0.603,0.279,0.415
